//FORMAT=CTDPRO
//METADATA_DELIMITER=;
//DATA_DELIMITER=\t
//METADATA;MYEAR;2018
//METADATA;PROJ;BAS
//METADATA;ORDERER;HAV
//METADATA;SLABO;DEEP
//METADATA;ALABO;DEEP
//METADATA;SDATE;2018-05-08
//METADATA;STIME;19:21
//METADATA;EDATE;
//METADATA;ETIME;
//METADATA;SHIPC;77FY
//METADATA;CRUISE_NO;
//METADATA;SERNO;0030
//METADATA;STATN;BY29
//METADATA;LATIT;5853
//METADATA;LONGI;2019
//METADATA;POSYS;NOM
//METADATA;WADEP;184
//METADATA;COMNT_VISIT;SDATE and STIME are based on when the CTD-cast was made
//METADATA;ADD_SMP;PHYCHE
//METADATA;SMTYP;CTD
//METADATA;INSTRUMENT_ID;CTM469
//METADATA;REFSK_SMP;
//METADATA;REV_DATE;
//METADATA;FILE_NAME;By291805081.TOB
//METADATA;FILE_NAME_DATABASE;ctd_profile_20180508_77FY_0030.txt
//METADATA;WINDIR;09
//METADATA;WINSP;4
//METADATA;AIRTEMP;10
//METADATA;AIRPRES;
//METADATA;WEATH;1
//METADATA;CLOUD;2
//METADATA;WAVES;1
//METADATA;ICEOB;0
//METADATA;timestamp;2018-05-08 19:21:00
//SENSORINFO;INSTRUMENT_ID;INSTRUMENT_PROD;INSTRUMENT_MOD;INSTRUMENT_SERIE;VALIDFR;VALIDTO;PARAM_REPORTED;PARAM_SIMPLE;PARAM;MUNIT;CALCULATED;CALCULATE_REF;SENSOR_PROD;SENSOR_MOD;SENSOR_ID;CALIB_DATE;LMQNT;RANA;UNCERT;FREQ;MET_COMNT
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;tryck;tryck;PRES_CTD;dbar;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;temperatur;temperatur;TEMP_CTD;°C;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;konduktivitet;konduktivitet;CNDC_CTD;mS/cm;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;syre;syre;DOXY_CTD;ml/l;;;JFE Advantech Co;ARO-CAV;53;dec - 2018;;0 to 200%;0.01 to 0.04%;;
//SENSORINFO;CTM469;Sea & Sun;CTD90M;Version 6;2010;;PAR-ljus;PAR-ljus;PAR_CTD;µE;;;Biospherical Instruments Inc.;QSP-2200;20475;dec - 2016;;400–700 nm;< 5%;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;tryck;tryck;tryck;;;;Keller;PA7-XXX Progress;;dec - 2018;;5, 10, 20, 50, 100, 200, 400, 600, 1200 bar;0,05 % in the range of –5°…35°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;temperatur;temperatur;temperatur;;;;Sea & Sun;;;dec - 2018;; -2°C – 36°C (-2°C – 60°C);< 0,001°C;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;konduktivitet;konduktivitet;konduktivitet;;;;Sea & Sun;;;dec - 2018;;0 – 70ms/cm;+-0.002 ms/cm;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;syre;syre;syre;;;;Sea & Sun;Optical Dissolved Oxygen Sensor;;2014;;0-250 % Sat;± 2 %;;
//SENSORINFO;CTM908;Sea & Sun;CTD90M;Version 6;2014;;PAR-ljus;PAR-ljus;PAR-ljus;;;;Biospherical Instruments Inc.;QSP-2200;;2014;;400–700 nm;< 5%;;
//INFORMATION;Information om instrumenthantering, datahantering; processering, beskrivning, kvalitetskontroll etc, kommentarer på datakvalité m.m.
//INFORMATION;(förslagsvis på engelska för att att nå ut till fler användare av data)
//INSTRUMENT_METADATA;SSDA Sea & Sun Technology's Standard Data Acquisition software package rev 2.06F Rinko3_2 21.02.2011
//INSTRUMENT_METADATA;Q:\SONDFIL\SONDPROGRAM\CTM469\CONFIG\CTM469.SPJ
//INSTRUMENT_METADATA;den 9 maj 2018 09:26:49
//INSTRUMENT_METADATA;StandardDataAcquisition SDA (C)opyright by T. Finger 1999-2010
//INSTRUMENT_METADATA;001 CTM469 001  N  Vbatt  Volt -1.57019000000E+0001  5.02835000000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 002  P  Press  dbar -2.69402000000E+0001  8.77593600000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 -6.47495744000E-0001 
//INSTRUMENT_METADATA;001 CTM469 003  N   Temp    °C -2.25639400000E+0000  5.87412100000E-0004  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 004  N   Cond mS/cm -1.07553900000E-0001  1.04903100000E-0003  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000  0.00000000000E+0000 
//INSTRUMENT_METADATA;001 CTM469 005 VO3 rawO2  Volt -5.25505000000E-0003  7.87539000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -3.54000000000E+0000  9.09509637000E-0001 
//INSTRUMENT_METADATA;001 CTM469 006 N24  T_i    °C  -7.54696000000E-0003  7.86676000000E-0005 -7.44454600000E+0000  1.66832200000E+0001 -2.17022200000E+0000  4.67942400000E-0001 
//INSTRUMENT_METADATA;001 CTM469 007 NFC   PAR   µE  -2.35158000000E-0002  7.88022000000E-0005  0.00000000000E+0000  0.00000000000E+0000 -2.21000000000E+0000  1.68932000000E+0003 
//INSTRUMENT_METADATA;C:\Users\stsv8363\Desktop\tryckkalibrering180423\469\By291805081.SRD
//INSTRUMENT_METADATA;Lines :        697
//INSTRUMENT_METADATA;;
//INSTRUMENT_METADATA;; Datasets      IntD      IntT    Press     Temp     Cond    SALIN    SIGMA       DO    DO_mg    DO_ml      PAR    Vbatt   Press 
//INSTRUMENT_METADATA;;             [ Date]   [ Time]  [ dbar]  [   °C]  [mS/cm]  [  PSU]  [kg/m3]  [    %]  [ mg/l]  [ ml/l]  [  µE ]  [ Volt] [ dbar]
//INSTRUMENT_METADATA;;
YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	CRUISE	STATION	LATITUDE_DD	LONGITUDE_DD	PRES_CTD [dbar]	Q_PRES_CTD	TEMP_CTD [°C]	Q_TEMP_CTD	CNDC_CTD [mS/cm]	Q_CNDC_CTD	DOXY_CTD [ml/l]	Q_DOXY_CTD	PAR_CTD [µE]	Q_PAR_CTD	tryck []	Q_tryck	temperatur []	Q_temperatur	konduktivitet []	Q_konduktivitet	syre []	Q_syre	PAR-ljus []	Q_PAR-ljus
2018	5	8	19	21	0	2018_77FY_	BY29	58.88333	20.31667	0.32		8.612		-0.034		-20.93		406.29											
2018	5	8	19	21	11	2018_77FY_	BY29	58.88333	20.31667	0.51		7.330		7.976		8.88		324.28											
2018	5	8	19	21	12	2018_77FY_	BY29	58.88333	20.31667	0.72		7.226		7.894		10.25		318.69											
2018	5	8	19	21	23	2018_77FY_	BY29	58.88333	20.31667	1.02		7.243		7.852		13.84		76.14											
2018	5	8	19	21	23	2018_77FY_	BY29	58.88333	20.31667	1.23		7.229		7.855		13.86		49.79											
2018	5	8	19	21	24	2018_77FY_	BY29	58.88333	20.31667	1.52		7.175		7.824		13.90		36.47											
2018	5	8	19	21	25	2018_77FY_	BY29	58.88333	20.31667	1.75		7.158		7.827		13.88		27.55											
2018	5	8	19	21	26	2018_77FY_	BY29	58.88333	20.31667	2.02		7.136		7.823		13.87		20.90											
2018	5	8	19	21	26	2018_77FY_	BY29	58.88333	20.31667	2.23		7.140		7.819		13.86		16.77											
2018	5	8	19	21	27	2018_77FY_	BY29	58.88333	20.31667	2.48		7.118		7.816		13.87		13.71											
2018	5	8	19	21	27	2018_77FY_	BY29	58.88333	20.31667	2.72		7.093		7.813		13.87		11.18											
2018	5	8	19	21	28	2018_77FY_	BY29	58.88333	20.31667	2.99		6.984		7.803		13.95		9.45											
2018	5	8	19	21	28	2018_77FY_	BY29	58.88333	20.31667	3.26		6.940		7.747		13.93		8.12											
2018	5	8	19	21	29	2018_77FY_	BY29	58.88333	20.31667	3.49		6.809		7.725		13.95		7.05											
2018	5	8	19	21	29	2018_77FY_	BY29	58.88333	20.31667	3.75		7.081		7.832		13.59		6.39											
2018	5	8	19	21	30	2018_77FY_	BY29	58.88333	20.31667	3.98		7.128		7.808		13.56		5.72											
2018	5	8	19	21	30	2018_77FY_	BY29	58.88333	20.31667	4.21		7.234		7.839		13.43		5.46											
2018	5	8	19	21	31	2018_77FY_	BY29	58.88333	20.31667	4.48		7.192		7.829		13.51		5.06											
2018	5	8	19	21	32	2018_77FY_	BY29	58.88333	20.31667	4.75		7.162		7.820		13.58		4.66											
2018	5	8	19	21	32	2018_77FY_	BY29	58.88333	20.31667	5.01		7.167		7.824		13.64		4.39											
2018	5	8	19	21	33	2018_77FY_	BY29	58.88333	20.31667	5.27		7.210		7.834		13.64		4.39											
2018	5	8	19	21	33	2018_77FY_	BY29	58.88333	20.31667	5.50		7.147		7.805		13.74		4.12											
2018	5	8	19	21	34	2018_77FY_	BY29	58.88333	20.31667	5.74		6.638		7.663		14.15		3.99											
2018	5	8	19	21	34	2018_77FY_	BY29	58.88333	20.31667	5.97		6.269		7.634		14.20		3.99											
2018	5	8	19	21	35	2018_77FY_	BY29	58.88333	20.31667	6.28		6.236		7.629		13.98		3.86											
2018	5	8	19	21	36	2018_77FY_	BY29	58.88333	20.31667	6.53		6.218		7.625		13.76		3.86											
2018	5	8	19	21	36	2018_77FY_	BY29	58.88333	20.31667	6.79		6.178		7.610		13.60		3.99											
2018	5	8	19	21	37	2018_77FY_	BY29	58.88333	20.31667	7.03		6.111		7.605		13.47		3.86											
2018	5	8	19	21	37	2018_77FY_	BY29	58.88333	20.31667	7.26		6.093		7.598		13.30		3.86											
2018	5	8	19	21	38	2018_77FY_	BY29	58.88333	20.31667	7.51		6.069		7.594		13.12		3.86											
2018	5	8	19	21	38	2018_77FY_	BY29	58.88333	20.31667	7.74		6.054		7.588		12.94		3.86											
2018	5	8	19	21	39	2018_77FY_	BY29	58.88333	20.31667	7.99		6.045		7.589		12.75		3.86											
2018	5	8	19	21	39	2018_77FY_	BY29	58.88333	20.31667	8.22		6.019		7.577		12.59		3.73											
2018	5	8	19	21	40	2018_77FY_	BY29	58.88333	20.31667	8.50		5.946		7.569		12.46		3.86											
2018	5	8	19	21	40	2018_77FY_	BY29	58.88333	20.31667	8.75		5.967		7.569		12.27		3.73											
2018	5	8	19	21	41	2018_77FY_	BY29	58.88333	20.31667	9.01		5.937		7.567		12.13		3.73											
2018	5	8	19	21	41	2018_77FY_	BY29	58.88333	20.31667	9.27		5.924		7.569		11.99		3.73											
2018	5	8	19	21	42	2018_77FY_	BY29	58.88333	20.31667	9.50		5.922		7.570		11.89		3.73											
2018	5	8	19	21	43	2018_77FY_	BY29	58.88333	20.31667	9.75		5.890		7.561		11.82		3.73											
2018	5	8	19	21	43	2018_77FY_	BY29	58.88333	20.31667	10.00		5.878		7.560		11.76		3.73											
2018	5	8	19	21	44	2018_77FY_	BY29	58.88333	20.31667	10.26		5.869		7.560		11.70		3.59											
2018	5	8	19	21	44	2018_77FY_	BY29	58.88333	20.31667	10.53		5.863		7.560		11.64		3.73											
2018	5	8	19	21	45	2018_77FY_	BY29	58.88333	20.31667	10.76		5.859		7.559		11.60		3.73											
2018	5	8	19	21	45	2018_77FY_	BY29	58.88333	20.31667	10.98		5.848		7.559		11.58		3.73											
2018	5	8	19	21	46	2018_77FY_	BY29	58.88333	20.31667	11.26		5.838		7.558		11.56		3.73											
2018	5	8	19	21	47	2018_77FY_	BY29	58.88333	20.31667	11.51		5.830		7.558		11.53		3.59											
2018	5	8	19	21	47	2018_77FY_	BY29	58.88333	20.31667	11.74		5.817		7.557		11.51		3.59											
2018	5	8	19	21	48	2018_77FY_	BY29	58.88333	20.31667	12.00		5.808		7.555		11.50		3.73											
2018	5	8	19	21	48	2018_77FY_	BY29	58.88333	20.31667	12.25		5.799		7.552		11.49		3.73											
2018	5	8	19	21	49	2018_77FY_	BY29	58.88333	20.31667	12.51		5.794		7.552		11.48		3.59											
2018	5	8	19	21	49	2018_77FY_	BY29	58.88333	20.31667	12.75		5.768		7.547		11.47		3.59											
2018	5	8	19	21	50	2018_77FY_	BY29	58.88333	20.31667	12.99		5.681		7.533		11.48		3.59											
2018	5	8	19	21	50	2018_77FY_	BY29	58.88333	20.31667	13.24		5.632		7.529		11.45		3.59											
2018	5	8	19	21	51	2018_77FY_	BY29	58.88333	20.31667	13.49		5.613		7.528		11.42		3.73											
2018	5	8	19	21	51	2018_77FY_	BY29	58.88333	20.31667	13.73		5.597		7.527		11.38		3.73											
2018	5	8	19	21	52	2018_77FY_	BY29	58.88333	20.31667	13.98		5.576		7.526		11.34		3.59											
2018	5	8	19	21	52	2018_77FY_	BY29	58.88333	20.31667	14.23		5.571		7.525		11.30		3.59											
2018	5	8	19	21	53	2018_77FY_	BY29	58.88333	20.31667	14.51		5.566		7.526		11.28		3.59											
2018	5	8	19	21	54	2018_77FY_	BY29	58.88333	20.31667	14.73		5.555		7.525		11.26		3.59											
2018	5	8	19	21	54	2018_77FY_	BY29	58.88333	20.31667	14.97		5.504		7.512		11.27		3.59											
2018	5	8	19	21	55	2018_77FY_	BY29	58.88333	20.31667	15.29		5.203		7.452		11.33		3.59											
2018	5	8	19	21	55	2018_77FY_	BY29	58.88333	20.31667	15.50		5.134		7.442		11.25		3.59											
2018	5	8	19	21	56	2018_77FY_	BY29	58.88333	20.31667	15.74		5.096		7.431		11.15		3.59											
2018	5	8	19	21	56	2018_77FY_	BY29	58.88333	20.31667	15.97		5.045		7.420		11.07		3.59											
2018	5	8	19	21	57	2018_77FY_	BY29	58.88333	20.31667	16.23		4.981		7.408		11.00		3.59											
2018	5	8	19	21	58	2018_77FY_	BY29	58.88333	20.31667	16.52		4.963		7.408		10.89		3.59											
2018	5	8	19	21	58	2018_77FY_	BY29	58.88333	20.31667	16.75		4.949		7.408		10.82		3.59											
2018	5	8	19	21	59	2018_77FY_	BY29	58.88333	20.31667	17.03		4.931		7.406		10.77		3.73											
2018	5	8	19	21	59	2018_77FY_	BY29	58.88333	20.31667	17.30		4.892		7.399		10.75		3.73											
2018	5	8	19	22	0	2018_77FY_	BY29	58.88333	20.31667	17.46		4.874		7.393		10.72		3.59											
2018	5	8	19	22	0	2018_77FY_	BY29	58.88333	20.31667	17.74		4.842		7.395		10.70		3.73											
2018	5	8	19	22	1	2018_77FY_	BY29	58.88333	20.31667	17.97		4.852		7.399		10.65		3.59											
2018	5	8	19	22	1	2018_77FY_	BY29	58.88333	20.31667	18.29		4.766		7.378		10.67		3.59											
2018	5	8	19	22	2	2018_77FY_	BY29	58.88333	20.31667	18.51		4.592		7.348		10.72		3.59											
2018	5	8	19	22	3	2018_77FY_	BY29	58.88333	20.31667	18.72		4.470		7.329		10.70		3.59											
2018	5	8	19	22	3	2018_77FY_	BY29	58.88333	20.31667	18.96		4.440		7.333		10.63		3.59											
2018	5	8	19	22	4	2018_77FY_	BY29	58.88333	20.31667	19.27		4.411		7.345		10.54		3.73											
2018	5	8	19	22	4	2018_77FY_	BY29	58.88333	20.31667	19.52		4.388		7.330		10.49		3.73											
2018	5	8	19	22	5	2018_77FY_	BY29	58.88333	20.31667	19.73		4.095		7.230		10.55		3.59											
2018	5	8	19	22	6	2018_77FY_	BY29	58.88333	20.31667	20.02		4.011		7.297		10.36		3.59											
2018	5	8	19	22	6	2018_77FY_	BY29	58.88333	20.31667	20.27		4.646		7.470		9.95		3.59											
2018	5	8	19	22	7	2018_77FY_	BY29	58.88333	20.31667	20.52		4.716		7.484		9.97		3.59											
2018	5	8	19	22	7	2018_77FY_	BY29	58.88333	20.31667	20.76		4.869		7.520		10.00		3.59											
2018	5	8	19	22	8	2018_77FY_	BY29	58.88333	20.31667	21.00		4.905		7.523		10.17		3.59											
2018	5	8	19	22	8	2018_77FY_	BY29	58.88333	20.31667	21.23		4.857		7.519		10.33		3.59											
2018	5	8	19	22	9	2018_77FY_	BY29	58.88333	20.31667	21.47		4.840		7.520		10.42		3.59											
2018	5	8	19	22	10	2018_77FY_	BY29	58.88333	20.31667	21.76		4.814		7.520		10.47		3.59											
2018	5	8	19	22	10	2018_77FY_	BY29	58.88333	20.31667	21.97		4.804		7.521		10.49		3.59											
2018	5	8	19	22	52	2018_77FY_	BY29	58.88333	20.31667	22.21		4.787		7.515		10.35		3.73											
2018	5	8	19	22	53	2018_77FY_	BY29	58.88333	20.31667	22.48		4.754		7.507		10.34		3.73											
2018	5	8	19	22	55	2018_77FY_	BY29	58.88333	20.31667	22.75		4.748		7.519		10.31		3.73											
2018	5	8	19	22	56	2018_77FY_	BY29	58.88333	20.31667	22.99		4.672		7.502		10.32		3.73											
2018	5	8	19	22	56	2018_77FY_	BY29	58.88333	20.31667	23.21		4.545		7.484		10.29		3.73											
2018	5	8	19	22	58	2018_77FY_	BY29	58.88333	20.31667	23.47		4.511		7.482		10.20		3.73											
2018	5	8	19	22	59	2018_77FY_	BY29	58.88333	20.31667	23.74		4.508		7.480		10.08		3.73											
2018	5	8	19	23	0	2018_77FY_	BY29	58.88333	20.31667	24.01		4.516		7.481		10.01		3.73											
2018	5	8	19	23	1	2018_77FY_	BY29	58.88333	20.31667	24.24		4.526		7.487		9.98		3.86											
2018	5	8	19	23	2	2018_77FY_	BY29	58.88333	20.31667	24.50		4.588		7.503		9.94		3.73											
2018	5	8	19	23	3	2018_77FY_	BY29	58.88333	20.31667	24.72		4.602		7.507		9.93		3.73											
2018	5	8	19	23	4	2018_77FY_	BY29	58.88333	20.31667	25.01		4.588		7.506		9.94		3.73											
2018	5	8	19	23	4	2018_77FY_	BY29	58.88333	20.31667	25.25		4.563		7.503		9.95		3.86											
2018	5	8	19	23	5	2018_77FY_	BY29	58.88333	20.31667	25.53		4.540		7.499		9.95		3.73											
2018	5	8	19	23	6	2018_77FY_	BY29	58.88333	20.31667	25.76		4.524		7.496		9.95		3.73											
2018	5	8	19	23	6	2018_77FY_	BY29	58.88333	20.31667	26.02		4.485		7.485		9.95		3.73											
2018	5	8	19	23	7	2018_77FY_	BY29	58.88333	20.31667	26.21		4.443		7.478		9.95		3.73											
2018	5	8	19	23	8	2018_77FY_	BY29	58.88333	20.31667	26.47		4.323		7.442		9.99		3.86											
2018	5	8	19	23	8	2018_77FY_	BY29	58.88333	20.31667	26.77		3.836		7.304		10.17		3.73											
2018	5	8	19	23	9	2018_77FY_	BY29	58.88333	20.31667	27.01		3.293		7.226		10.31		3.73											
2018	5	8	19	23	10	2018_77FY_	BY29	58.88333	20.31667	27.28		3.057		7.209		10.21		3.73											
2018	5	8	19	23	10	2018_77FY_	BY29	58.88333	20.31667	27.48		3.046		7.209		10.09		3.73											
2018	5	8	19	23	11	2018_77FY_	BY29	58.88333	20.31667	27.76		3.030		7.223		9.96		3.73											
2018	5	8	19	23	11	2018_77FY_	BY29	58.88333	20.31667	27.97		3.068		7.234		9.84		3.86											
2018	5	8	19	23	12	2018_77FY_	BY29	58.88333	20.31667	28.27		3.110		7.242		9.72		3.86											
2018	5	8	19	23	13	2018_77FY_	BY29	58.88333	20.31667	28.49		3.144		7.249		9.65		3.86											
2018	5	8	19	23	13	2018_77FY_	BY29	58.88333	20.31667	28.73		3.140		7.255		9.61		3.86											
2018	5	8	19	23	14	2018_77FY_	BY29	58.88333	20.31667	29.02		3.263		7.287		9.51		3.73											
2018	5	8	19	23	14	2018_77FY_	BY29	58.88333	20.31667	29.22		3.348		7.309		9.48		3.73											
2018	5	8	19	23	15	2018_77FY_	BY29	58.88333	20.31667	29.50		3.376		7.313		9.48		3.73											
2018	5	8	19	23	16	2018_77FY_	BY29	58.88333	20.31667	29.72		3.336		7.300		9.53		3.73											
2018	5	8	19	23	16	2018_77FY_	BY29	58.88333	20.31667	29.99		3.197		7.283		9.60		3.73											
2018	5	8	19	23	17	2018_77FY_	BY29	58.88333	20.31667	30.22		3.144		7.277		9.60		3.73											
2018	5	8	19	23	18	2018_77FY_	BY29	58.88333	20.31667	30.51		3.079		7.265		9.62		3.73											
2018	5	8	19	23	18	2018_77FY_	BY29	58.88333	20.31667	30.73		3.015		7.258		9.61		3.73											
2018	5	8	19	23	19	2018_77FY_	BY29	58.88333	20.31667	31.01		2.905		7.242		9.61		3.73											
2018	5	8	19	23	20	2018_77FY_	BY29	58.88333	20.31667	31.22		2.858		7.230		9.58		3.73											
2018	5	8	19	23	20	2018_77FY_	BY29	58.88333	20.31667	31.47		2.766		7.208		9.58		3.73											
2018	5	8	19	23	21	2018_77FY_	BY29	58.88333	20.31667	31.72		2.594		7.186		9.61		3.73											
2018	5	8	19	23	22	2018_77FY_	BY29	58.88333	20.31667	31.96		2.572		7.217		9.53		3.86											
2018	5	8	19	23	22	2018_77FY_	BY29	58.88333	20.31667	32.28		2.590		7.214		9.46		3.73											
2018	5	8	19	23	23	2018_77FY_	BY29	58.88333	20.31667	32.48		2.506		7.199		9.45		3.86											
2018	5	8	19	23	23	2018_77FY_	BY29	58.88333	20.31667	32.79		2.345		7.178		9.44		3.73											
2018	5	8	19	23	24	2018_77FY_	BY29	58.88333	20.31667	33.01		2.352		7.184		9.34		3.86											
2018	5	8	19	23	25	2018_77FY_	BY29	58.88333	20.31667	33.25		2.376		7.194		9.24		3.73											
2018	5	8	19	23	25	2018_77FY_	BY29	58.88333	20.31667	33.50		2.434		7.203		9.12		3.86											
2018	5	8	19	23	26	2018_77FY_	BY29	58.88333	20.31667	33.73		2.449		7.208		9.05		3.73											
2018	5	8	19	23	26	2018_77FY_	BY29	58.88333	20.31667	34.03		2.471		7.214		8.99		3.73											
2018	5	8	19	23	27	2018_77FY_	BY29	58.88333	20.31667	34.27		2.484		7.219		8.97		3.86											
2018	5	8	19	23	27	2018_77FY_	BY29	58.88333	20.31667	34.47		2.473		7.223		8.96		3.73											
2018	5	8	19	23	28	2018_77FY_	BY29	58.88333	20.31667	34.79		2.440		7.217		8.97		3.86											
2018	5	8	19	23	29	2018_77FY_	BY29	58.88333	20.31667	35.03		2.346		7.216		9.00		3.86											
2018	5	8	19	23	29	2018_77FY_	BY29	58.88333	20.31667	35.29		2.360		7.235		8.97		3.73											
2018	5	8	19	23	30	2018_77FY_	BY29	58.88333	20.31667	35.46		2.373		7.238		8.94		3.86											
2018	5	8	19	23	30	2018_77FY_	BY29	58.88333	20.31667	35.77		2.379		7.240		8.86		3.86											
2018	5	8	19	23	31	2018_77FY_	BY29	58.88333	20.31667	36.03		2.384		7.243		8.80		3.86											
2018	5	8	19	23	31	2018_77FY_	BY29	58.88333	20.31667	36.26		2.406		7.260		8.75		3.86											
2018	5	8	19	23	32	2018_77FY_	BY29	58.88333	20.31667	36.53		2.455		7.273		8.73		3.86											
2018	5	8	19	23	32	2018_77FY_	BY29	58.88333	20.31667	36.74		2.471		7.278		8.73		3.86											
2018	5	8	19	23	33	2018_77FY_	BY29	58.88333	20.31667	37.05		2.487		7.283		8.77		3.73											
2018	5	8	19	23	33	2018_77FY_	BY29	58.88333	20.31667	37.27		2.498		7.284		8.80		3.86											
2018	5	8	19	23	34	2018_77FY_	BY29	58.88333	20.31667	37.48		2.500		7.286		8.84		3.86											
2018	5	8	19	23	34	2018_77FY_	BY29	58.88333	20.31667	37.77		2.505		7.290		8.90		3.99											
2018	5	8	19	23	34	2018_77FY_	BY29	58.88333	20.31667	37.98		2.496		7.291		8.94		3.73											
2018	5	8	19	23	35	2018_77FY_	BY29	58.88333	20.31667	38.26		2.478		7.293		9.00		3.73											
2018	5	8	19	23	35	2018_77FY_	BY29	58.88333	20.31667	38.47		2.480		7.305		9.02		3.86											
2018	5	8	19	23	36	2018_77FY_	BY29	58.88333	20.31667	38.73		2.472		7.306		9.06		3.86											
2018	5	8	19	23	36	2018_77FY_	BY29	58.88333	20.31667	38.99		2.458		7.306		9.08		3.86											
2018	5	8	19	23	37	2018_77FY_	BY29	58.88333	20.31667	39.28		2.451		7.307		9.09		3.86											
2018	5	8	19	23	38	2018_77FY_	BY29	58.88333	20.31667	39.54		2.443		7.307		9.10		3.86											
2018	5	8	19	23	38	2018_77FY_	BY29	58.88333	20.31667	39.75		2.436		7.306		9.10		3.73											
2018	5	8	19	23	38	2018_77FY_	BY29	58.88333	20.31667	40.05		2.420		7.305		9.11		3.86											
2018	5	8	19	23	39	2018_77FY_	BY29	58.88333	20.31667	40.26		2.415		7.305		9.11		3.99											
2018	5	8	19	23	39	2018_77FY_	BY29	58.88333	20.31667	40.48		2.406		7.305		9.11		3.86											
2018	5	8	19	23	40	2018_77FY_	BY29	58.88333	20.31667	40.76		2.394		7.308		9.11		3.86											
2018	5	8	19	23	40	2018_77FY_	BY29	58.88333	20.31667	41.01		2.405		7.314		9.10		3.86											
2018	5	8	19	23	41	2018_77FY_	BY29	58.88333	20.31667	41.27		2.414		7.315		9.10		3.86											
2018	5	8	19	23	41	2018_77FY_	BY29	58.88333	20.31667	41.55		2.411		7.316		9.10		3.86											
2018	5	8	19	23	42	2018_77FY_	BY29	58.88333	20.31667	41.74		2.413		7.316		9.10		3.86											
2018	5	8	19	23	42	2018_77FY_	BY29	58.88333	20.31667	42.00		2.421		7.321		9.10		3.99											
2018	5	8	19	23	43	2018_77FY_	BY29	58.88333	20.31667	42.27		2.429		7.323		9.09		3.86											
2018	5	8	19	23	43	2018_77FY_	BY29	58.88333	20.31667	42.56		2.416		7.323		9.09		3.86											
2018	5	8	19	23	44	2018_77FY_	BY29	58.88333	20.31667	42.74		2.422		7.327		9.08		3.86											
2018	5	8	19	23	44	2018_77FY_	BY29	58.88333	20.31667	42.98		2.436		7.330		9.08		3.86											
2018	5	8	19	23	45	2018_77FY_	BY29	58.88333	20.31667	43.25		2.455		7.335		9.07		3.86											
2018	5	8	19	23	45	2018_77FY_	BY29	58.88333	20.31667	43.53		2.460		7.337		9.08		3.86											
2018	5	8	19	23	46	2018_77FY_	BY29	58.88333	20.31667	43.71		2.440		7.334		9.10		3.86											
2018	5	8	19	23	46	2018_77FY_	BY29	58.88333	20.31667	44.04		2.422		7.334		9.11		3.86											
2018	5	8	19	23	47	2018_77FY_	BY29	58.88333	20.31667	44.23		2.412		7.332		9.12		3.86											
2018	5	8	19	23	47	2018_77FY_	BY29	58.88333	20.31667	44.50		2.407		7.332		9.12		3.86											
2018	5	8	19	23	48	2018_77FY_	BY29	58.88333	20.31667	44.80		2.402		7.332		9.12		3.86											
2018	5	8	19	23	48	2018_77FY_	BY29	58.88333	20.31667	44.99		2.401		7.332		9.12		3.73											
2018	5	8	19	23	49	2018_77FY_	BY29	58.88333	20.31667	45.27		2.390		7.329		9.12		3.86											
2018	5	8	19	23	49	2018_77FY_	BY29	58.88333	20.31667	45.47		2.379		7.329		9.11		3.86											
2018	5	8	19	23	50	2018_77FY_	BY29	58.88333	20.31667	45.76		2.374		7.328		9.11		3.99											
2018	5	8	19	23	50	2018_77FY_	BY29	58.88333	20.31667	46.06		2.365		7.330		9.10		3.86											
2018	5	8	19	23	50	2018_77FY_	BY29	58.88333	20.31667	46.24		2.369		7.332		9.10		3.86											
2018	5	8	19	23	51	2018_77FY_	BY29	58.88333	20.31667	46.50		2.385		7.335		9.09		3.86											
2018	5	8	19	24	39	2018_77FY_	BY29	58.88333	20.31667	46.72		2.397		7.336		9.11		3.86											
